Sem a pandemia qual seria o seu ano provável de formatura?,Você atualmente possui acesso à internet?,Atualmente você consegue (você pode escolher várias opções):,Na questão anterior você selecionou todas as opções?,Qual equipamento te falta para realizar todas as atividades remotamente?,As condições do seu local de estudo são:,Atualmente o que falta em seu local de estudo para ele ser ótimo?,"Atualmente, quanto os livros da biblioteca física são importantes para seus estudos?",Quantas disciplinas a distância você conseguiria cursar em um semestre? Note que ela pode demandar mais tempo que uma disciplina presencial.,Quais seus motivos para não fazer aulas a distância? Seja sincero.,"Desconsiderando suas atuais limitações de acesso, quais disciplinas você estaria disposto a cursar a distância no próximo semestre? (você tem que ter o pré-requisito)","Para que uma disciplina possa ser oferecida a distância, quantos dos alunos interessados e que tenham o pré-requisito devem ter condições de cursá-la?",Quais tipos de disciplinas deveriam ser oferecidas a distância durante o isolamento social (você pode escolher várias opções ou nenhuma)?,"Faça aqui outros comentários, dúvidas para aprimorarmos nosso levantamento de dados"
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",silêncio ,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, PROBABILIDADE 1","Muitos, 50% ou mais tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de recuperação, Obrigatórias gerais",
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Todas de um semestre presencial,,"ANÁLISE DE REGRESSÃO, ESTATÍSTICA BAYESIANA, ESTATÍSTICA MULTIVARIADA 1, INTRODUÇÃO À ESTATÍSTICA, INTRODUÇÃO À TEORIA DAS FILAS, MÉTODOS EM BIOMETRIA, PLANEJAMENTO E ANÁLISE DE EXPERIMENTOS 1, SÉRIES TEMPORAIS",Todos,"Disciplinas de final de curso, Obrigatórias de recuperação, Obrigatórias gerais",
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Não,"Celular, estou sem notebook pois o carregador estragou, e por ele ser antigo não acho carregador para ele","Aceitáveis, alguma dificuldade de concentração",Silêncio,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"INTRODUÇÃO À TEORIA DAS FILAS, PROBABILIDADE 2, PROGRAMAÇÃO ESTATÍSTICA",Todos,"Optativas, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Ruins, muita dificuldade de concentração","Um espaço mais calmo e menos barulhento, devido minha dificuldade de concentração","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA,Todos,"Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação",
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Todas de um semestre presencial,,"ANÁLISE DE RISCOS, CONSTRUÇÃO DE INDICADORES, CONTROLE ESTATÍSTICO DE QUALIDADE, ESTATÍSTICA BAYESIANA, MINERAÇÃO DE DADOS, PLANEJAMENTO E ANÁLISE DE EXPERIMENTOS 1, PROCESSOS ESTOCÁSTICOS",Todos,"Optativas, Obrigatórias de ênfase, Obrigatórias gerais, ACIEPEs",
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Todas de um semestre presencial,,"CONTROLE ESTATÍSTICO DE QUALIDADE, ESTATÍSTICA BAYESIANA, LABORATÓRIO DE ESTATÍSTICA APLICADA, MINERAÇÃO DE DADOS, PROCESSOS ESTOCÁSTICOS, TG2","Alguns, basta haver alunos aptos e interessados","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"INFERÊNCIA ESTATISTICA A, INTRODUÇÃO À TEORIA DAS FILAS, PROGRAMAÇÃO ESTATÍSTICA",Todos,"Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, ACIEPEs",
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Um cômodo só pra mim ou biblioteca ,"Pouco, não dependo da biblioteca física para cursar disciplinas",Algumas do semestre presencial,,TG2,Todos,"Optativas, Disciplinas de final de curso, ACIEPEs",
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Todas de um semestre presencial,,"ESTUDOS POPULACIONAIS, MINERAÇÃO DE DADOS, TG1","Alguns, basta haver alunos aptos e interessados","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs","Gostaria que quem não tem acesso não fosse prejudicado, ou seja, que eles não percam um semestre. Uma solução seria que esse semestre só conte pra quem esteja cursando."
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Não,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, PROBABILIDADE 1",Todos,"Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias gerais",
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração","Falta eu conseguir me concentrar mais, por conta de barulhos externos, por conta de família e por conta de outras situações.","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,,Todos,"Optativas, Obrigatórias de ênfase, ACIEPEs",
